"Characteristic","Levels","Total"
"","1","75,679 (15.1%)"
"Q_DIAG_BLOOD_CANCER","0","500,568 (99.7%)"
"","1","1,738 (0.3%)"
"Q_DIAG_CCF","0","499,620 (99.5%)"
"","1","2,686 (0.5%)"
"Q_DIAG_CEREBRALPALSY","0","501,781 (99.9%)"
"","1","525 (0.1%)"
"Q_DIAG_CHD","0","490,193 (97.6%)"
"","1","12,113 (2.4%)"
"Q_DIAG_CIRRHOSIS","0","500,403 (99.6%)"
"","1","1,903 (0.4%)"
"Q_DIAG_CONGEN_HD","0","498,641 (99.3%)"
"","1","3,665 (0.7%)"
"Q_DIAG_COPD","0","494,507 (98.4%)"
"","1","7,799 (1.6%)"
"Q_DIAG_DEMENTIA","0","498,594 (99.3%)"
"","1","3,712 (0.7%)"
"Q_DIAG_DIABETES_1","0","499,736 (99.5%)"
"","1","2,570 (0.5%)"
"Q_DIAG_DIABETES_2","0","484,258 (96.4%)"
"","1","18,048 (3.6%)"
"Q_DIAG_EPILEPSY","0","495,816 (98.7%)"
"","1","6,490 (1.3%)"
"Q_DIAG_FRACTURE","0","482,345 (96.0%)"
"","1","19,961 (4.0%)"
"Q_DIAG_NEURO","0","500,525 (99.6%)"
"","1","1,781 (0.4%)"
"Q_DIAG_PARKINSONS","0","501,670 (99.9%)"
"","1","636 (0.1%)"
"Q_DIAG_PULM_HYPER","0","501,837 (99.9%)"
"","1","469 (0.1%)"
"Q_DIAG_PULM_RARE","0","500,703 (99.7%)"
"","1","1,603 (0.3%)"
"Q_DIAG_PVD","0","500,097 (99.6%)"
"","1","2,209 (0.4%)"
"Q_DIAG_RA_SLE","0","498,124 (99.2%)"
"","1","4,182 (0.8%)"
"Q_DIAG_RESP_CANCER","0","501,731 (99.9%)"
"","1","575 (0.1%)"
"Q_DIAG_SEV_MENT_ILL","0","443,515 (88.3%)"
"","1","58,791 (11.7%)"
"Q_DIAG_SICKLE_CELL","0","501,989 (99.9%)"
"","1","317 (0.1%)"
"Q_DIAG_STROKE","0","495,190 (98.6%)"
"","1","7,116 (1.4%)"
"Q_DIAG_VTE","0","496,760 (98.9%)"
"","1","5,546 (1.1%)"
"Q_BMI","mean.sd","28.2 (6.3)"
"","median.iqr","26.5 (8.21677954197843)"
"Q_HOME_CAT","0","499,278 (99.4%)"
"","1","2,665 (0.5%)"
"","2","363 (0.1%)"
"Q_LEARN_CAT","0","495,923 (98.7%)"
"","1","6,243 (1.2%)"
"","2","140 (0.0%)"
"Q_DIAG_CKD_LEVEL","0","493,688 (98.3%)"
"","3","7,664 (1.5%)"
"","4","425 (0.1%)"
"","5","529 (0.1%)"
"EAVE_Smoke","Non Smoker","247,568 (49.3%)"
"","Ex Smoker","64,636 (12.9%)"
"","Smoker","115,430 (23.0%)"
"","Unknown","74,672 (14.9%)"
"EAVE_BP","No Investigation","112,342 (22.4%)"
"","Low","9,613 (1.9%)"
"","Normal","329,397 (65.6%)"
"","High","42,725 (8.5%)"
"","Very High","8,229 (1.6%)"
