"Dependent: outcome"," ","BA.2","negative","p"
"","1","18 (0.1)","137 (0.1)",""
"Q_DIAG_STROKE","0","20823 (99.2)","189631 (98.6)","<0.001"
"","1","159 (0.8)","2750 (1.4)",""
"Q_DIAG_VTE","0","20814 (99.2)","190031 (98.8)","<0.001"
"","1","168 (0.8)","2350 (1.2)",""
"Q_HOME_CAT","0","20967 (99.9)","192117 (99.9)","0.024"
"","1","5 (0.0)","138 (0.1)",""
"","2","10 (0.0)","126 (0.1)",""
"Q_LEARN_CAT","0","20691 (98.6)","189625 (98.6)","0.164"
"","1","289 (1.4)","2691 (1.4)",""
"","2","2 (0.0)","65 (0.0)",""
"Q_DIAG_CKD_LEVEL","Mean (SD)","0.0 (0.3)","0.1 (0.4)","<0.001"
"n_risk_gps","0","13701 (65.3)","118750 (61.7)","<0.001"
"","1","5478 (26.1)","52158 (27.1)",""
"","2","1421 (6.8)","14943 (7.8)",""
"","3","283 (1.3)","4294 (2.2)",""
"","4","70 (0.3)","1448 (0.8)",""
"","5+","29 (0.1)","788 (0.4)",""
"bmi_impute","Mean (SD)","27.4 (4.3)","27.6 (4.4)","<0.001"
"HB_residence","NHS AYRSHIRE & ARRAN","1458 (6.5)","15299 (7.4)","<0.001"
"","NHS BORDERS","291 (1.3)","3978 (1.9)",""
"","NHS DUMFRIES & GALLOWAY","354 (1.6)","5062 (2.4)",""
"","NHS FIFE","1199 (5.3)","14121 (6.8)",""
"","NHS FORTH VALLEY","1468 (6.5)","11547 (5.6)",""
"","NHS GRAMPIAN","2058 (9.2)","20484 (9.9)",""
"","NHS GREATER GLASGOW & CLYDE","5851 (26.1)","45441 (21.9)",""
"","NHS HIGHLAND","1178 (5.3)","12852 (6.2)",""
"","NHS LANARKSHIRE","3255 (14.5)","25040 (12.1)",""
"","NHS LOTHIAN","3665 (16.4)","35816 (17.3)",""
"","NHS ORKNEY","57 (0.3)","524 (0.3)",""
"","NHS SHETLAND","8 (0.0)","981 (0.5)",""
"","NHS TAYSIDE","1552 (6.9)","15532 (7.5)",""
"","NHS WESTERN ISLES","21 (0.1)","502 (0.2)",""
